Date,Event Type,Severity,Description
2023-08-10,Flood,High,Monsoon rains led to flooding in several parts of Jaipur.
2022-09-20,Heavy Rainfall,Moderate,Intense rainfall resulted in waterlogging and transportation disruptions.
2021-11-15,Protest,Low,Protests and strikes disrupted normal life and transportation in the city.
2020-06-10,Locust Invasion,High,Jaipur faced a major locust invasion, leading to agricultural losses.
2019-08-25,Fire,High,A major fire broke out in a commercial complex, resulting in property damage.
2018-06-05,Heatwave,Extreme,An extreme heatwave with temperatures exceeding 46°C affected the city.
2017-07-20,Flood,High,Heavy monsoon rains caused significant flooding in parts of Jaipur.
2016-03-10,Storm,Medium,A severe dust storm and thunderstorm caused damage to property and power outages.
2015-11-02,Earthquake,Medium,A moderate earthquake with a magnitude of 4.7 rattled the city.
2014-10-15,Flood,High,Unseasonal heavy rains led to widespread flooding and evacuations.
