Date,Event Type,Severity,Description
2023-09-25,Flood,High,Monsoon rains caused severe flooding in low-lying areas of Ahmedabad.
2022-08-18,Heavy Rainfall,Moderate,Intense rainfall resulted in waterlogging and disrupted transportation.
2021-11-10,Protest,Low,Public protests led to road closures and traffic disruptions in the city.
2020-08-07,Cyclone,Medium,The impact of Cyclone Nisarga resulted in strong winds and power outages.
2019-07-15,Fire,High,A major industrial fire led to evacuations and environmental concerns.
2018-05-30,Heatwave,Extreme,An extreme heatwave with temperatures exceeding 47°C affected the city.
2017-06-20,Flood,High,Heavy monsoon rains caused significant flooding in parts of Ahmedabad.
2016-04-02,Hailstorm,Medium,A sudden hailstorm caused damage to crops and vehicles in the city.
2015-11-15,Earthquake,Medium,A moderate earthquake with a magnitude of 4.9 shook the city.
2014-10-10,Terror Attack,High,A terrorist attack in a crowded market area resulted in casualties and chaos.
