Date,Event Type,Severity,Description
2023-10-08,Flood,High,Heavy rains caused severe flooding in low-lying areas of Hyderabad.
2022-09-25,Heavy Rainfall,Moderate,Intense rainfall resulted in waterlogging and transportation disruptions.
2021-07-10,Protest,Low,Public protests led to road closures and traffic disruptions in the city.
2020-08-05,COVID-19 Outbreak,Major,Hyderabad faced a major outbreak of the COVID-19 pandemic, leading to restrictions.
2019-11-14,Fire,High,A major fire broke out in a market area, resulting in property damage.
2018-06-20,Heatwave,Extreme,An extreme heatwave with temperatures exceeding 46°C affected the city.
2017-10-30,Flood,High,Heavy monsoon rains caused significant flooding in parts of Hyderabad.
2016-04-05,Traffic Accident,High,A major traffic accident on a busy highway resulted in casualties.
2015-09-12,Hailstorm,Medium,A sudden hailstorm caused damage to crops and vehicles in the city.
2014-12-22,Earthquake,Medium,A moderate earthquake with a magnitude of 4.7 shook the city.
