Date,Event Type,Severity,Description
2023-07-20,Flood,High,Monsoon rains led to flooding in low-lying areas of Lucknow.
2022-09-15,Heavy Rainfall,Moderate,Intense rainfall resulted in waterlogging and disrupted transportation.
2021-11-05,Protest,Low,Protests and strikes disrupted normal life and transportation in the city.
2020-07-15,COVID-19 Outbreak,Major,Lucknow faced a major outbreak of the COVID-19 pandemic, leading to restrictions.
2019-12-20,Fire,High,A major fire broke out in a residential area, resulting in evacuations.
2018-06-10,Heatwave,Extreme,An extreme heatwave with temperatures exceeding 45°C affected the city.
2017-07-25,Flood,High,Heavy monsoon rains caused significant flooding in parts of Lucknow.
2016-03-05,Storm,Medium,A severe dust storm and thunderstorm caused damage to property and power outages.
2015-10-30,Earthquake,Medium,A moderate earthquake with a magnitude of 4.8 rattled the city.
2014-09-10,Hailstorm,Medium,A sudden hailstorm caused damage to crops and vehicles in Lucknow.
