Date,Event Type,Severity,Description
2023-07-20,Flood,High,Monsoon rains led to flooding in several low-lying areas of Mumbai.
2022-10-15,Heavy Rainfall,Moderate,Intense rainfall resulted in waterlogging and disrupted transportation.
2021-08-24,Building Collapse,High,A residential building collapse led to casualties and rescue operations.
2020-06-05,Cyclone,Medium,The impact of Cyclone Nisarga caused strong winds and power outages.
2019-06-30,Bridge Collapse,High,A major bridge collapse resulted in transportation disruptions.
2018-08-19,Landslide,Medium,A landslide in a hilly area near Mumbai affected traffic on a major highway.
2017-07-26,Flood,High,Continuous rain led to severe flooding in several parts of the city.
2016-04-14,Fire,High,A major fire broke out in a commercial complex in Mumbai's business district.
2015-11-10,Heatwave,Extreme,An extreme heatwave with temperatures exceeding 44°C affected the city.
2014-12-03,Terror Attack,High, A terrorist attack on a prominent Mumbai location led to casualties and chaos.
