Date,Event Type,Severity,Description
2023-07-15,Flood,High,Monsoon rains led to flooding in several parts of Pune.
2022-11-20,Heavy Rainfall,Moderate,Intense rainfall resulted in waterlogging and disrupted transportation.
2021-10-05,Protest,Low,Protests and strikes disrupted normal life and transportation in the city.
2020-09-10,COVID-19 Outbreak,Major,Pune faced a major outbreak of the COVID-19 pandemic, leading to lockdowns.
2019-08-25,Fire,High,A major industrial fire led to evacuations and air quality concerns.
2018-06-30,Heatwave,Extreme,An extreme heatwave with temperatures exceeding 45°C affected the city.
2017-07-15,Flood,High,Heavy monsoon rains caused significant flooding in parts of Pune.
2016-05-10,Landslide,Medium,A landslide in the hilly areas disrupted traffic and caused damage.
2015-12-02,Earthquake,Medium,A moderate earthquake with a magnitude of 4.8 rattled the city.
2014-09-18,Hailstorm,Medium,A sudden hailstorm caused damage to crops and vehicles in Pune.
