Date,Event Type,Severity,Description
2023-09-10,Flood,Medium,Heavy rains caused flooding in several low-lying areas of Bangalore.
2022-10-22,Landslide,High,A major landslide in the outskirts disrupted traffic and caused damage.
2021-07-15,Protest,Low,Public protests led to road closures and traffic disruptions in the city.
2020-05-20,Cyclone,Medium,The impact of Cyclone Amphan resulted in strong winds and power outages.
2019-04-10,Fire,High,A large-scale industrial fire led to evacuations and environmental concerns.
2018-08-05,Heatwave,Extreme,An extreme heatwave with temperatures exceeding 42°C affected the city.
2017-06-30,Flood,High,Heavy monsoon rains caused significant flooding in parts of Bangalore.
2016-03-25,Traffic Accident,High,A major traffic accident on a busy highway resulted in casualties.
2015-11-02,Earthquake,Medium,A moderate earthquake with a magnitude of 4.8 shook the city.
2014-09-18,Construction Accident,High,A building collapse at a construction site caused casualties and chaos.
